time,score_diff
0,0
0,0
16,0
35,0
57,0
57,0
62,0
64,0
77,0
78,0
91,-2
116,-2
118,-2
131,-2
145,1
157,-1
177,-1
179,-1
187,-1
188,-1
194,-1
214,1
223,1
224,1
230,1
231,1
233,1
233,0
233,-1
255,-1
255,0
255,1
270,-2
284,1
295,1
296,1
307,1
307,1
321,3
333,3
334,3
342,1
369,1
370,1
375,1
377,1
377,1
377,1
384,1
386,1
386,1
395,-2
416,-2
421,-2
421,-2
422,-2
425,-2
425,-3
425,-3
425,-4
439,-4
440,-4
446,-4
448,-4
459,-4
461,-4
470,-4
471,-4
478,-2
478,-2
478,-2
478,-2
478,-1
497,-1
498,-1
500,-1
513,-1
515,-1
526,-3
526,-3
526,-3
526,-3
526,-4
535,-4
541,-6
559,-6
560,-6
567,-6
578,-6
578,-6
585,-9
604,-7
626,-9
626,-9
626,-9
626,-9
626,-9
627,-9
636,-9
637,-9
647,-9
661,-9
662,-9
667,-9
667,-9
672,-7
689,-9
708,-9
708,-9
710,-9
710,-9
720,-9
720,-9
