hours,ageNo,sum
0,4,589
0,3,19687
0,2,38729
0,1,62401
0,0,511
1,4,691
1,3,25002
1,2,52376
1,1,78043
1,0,653
2,4,528
2,3,20540
2,2,54431
2,1,94756
2,0,716
3,4,286
3,3,13349
3,2,41385
3,1,77084
3,0,545
4,4,179
4,3,8045
4,2,28179
4,1,52756
4,0,311
5,4,96
5,3,5081
5,2,17835
5,1,33923
5,0,201
6,4,86
6,3,3743
6,2,12458
6,1,23042
6,0,168
7,4,65
7,3,3114
7,2,9620
7,1,18255
7,0,149
8,4,55
8,3,2367
8,2,6934
8,1,13575
8,0,89
9,4,57
9,3,1786
9,2,5131
9,1,10578
9,0,98
10,4,31
10,3,1225
10,2,3764
10,1,7600
10,0,75
11,4,18
11,3,929
11,2,2919
11,1,5723
11,0,70
12,4,19
12,3,676
12,2,2255
12,1,3967
12,0,49
13,4,22
13,3,592
13,2,1666
13,1,2968
13,0,51
14,4,7
14,3,406
14,2,1200
14,1,2076
14,0,27
15,4,13
15,3,305
15,2,834
15,1,1390
15,0,13
16,4,7
16,3,221
16,2,617
16,1,1076
16,0,8
17,4,3
17,3,171
17,2,552
17,1,903
17,0,11
18,4,5
18,3,126
18,2,415
18,1,760
18,0,6
19,4,1
19,3,113
19,2,371
19,1,617
19,0,3
20,4,2
20,3,98
20,2,362
20,1,499
20,0,2
21,4,4
21,3,84
21,2,300
21,1,436
21,0,2
22,4,1
22,3,65
22,2,223
22,1,349
22,0,1
23,4,3
23,3,66
23,2,205
23,1,313
23,0,1
